condition,ai_prompt 1,6 writing related items,ai_prompt 2,6 writing related items,ai_declaration,6 writing related items (line 1),6 writing related items (line 2)
MP,"Can you give me some examples of a current social, cultural or technological issue within innovation and sustainability?",brainstorming,"Can you draft me an outline for an essay on applying three frameworks to a current social, cultural, technological issue regarding innovation and sustainability",writing parts,Throughout this assessment I have used generative AI in order to brainstorm ideas for my topic and put them into a framework which I have then used as the outline for writing my essay.,brainstorming,
MP,"Give me an detailed plan from start to finish on how i should tackle my essay about society, innovation and sustainability",writing parts,"Give me an outline on my essay about society, innovation and sustainability, it is 3000 words and i need 3 theoretical frameworks",writing parts,"I used generative AI for the outline and to brainstorm ideas, but the actual writing of the essay is all mine",brainstorming,
EM,"Suggest several contemporary social, cultural, or technological issues related to sustainability and innovation that would be suitable for a 3,000-word university essay, and explain which theoretical frameworks could be applied to each topic.",brainstorming,"I am writing an essay on the impact of artificial intelligence on society. Help me compare and apply three theoretical frameworks from my course, identify key academic debates, and suggest a structure for developing a clear argument",writing parts,"I used a generative AI tool to help brainstorm potential essay topics, explore relevant theoretical frameworks, and develop an initial essay structure. All research, critical analysis, argument development, and final writing were completed and reviewed by me.",brainstorming,
EM,"choose a contemporary social, cultural, or technological issue that could be used as a basis for a 3000 word essay, give options",brainstorming,use three theoretical frameworks introduced in this course to analyse your topic and give an outline for the 3000 word essay,writing parts,"I used AI to assist with brainstorming, refining ideas, and improving the clarity and organisation of this essay. All arguments, interpretations, and final written content were reviewed and edited by me. I take full responsibility for the accuracy, originality, and submission of the work.",brainstorming,
MP,"Help me come up with an essay idea regarding a contemporary social, cultural, or technological issue",brainstorming,"Help me write an essay plan, 3000 words, on that topic, use three theoretical frameworks introduced in this course to analyse your topic",writing parts,"I have used AI to help come up with the overarching topic for this essay, and to help brainstorm an essay plan. Further planning, literature review, writing, and proofreading was done without the use of any AI",brainstorming,
MP,"You are a university student with this assignment: Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument.",writing parts,"Work on the following assignmnet, giving concise and clear notes for what I should address and where to obtain the information: Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument.",writing parts,I have used AI to brainstorm ideas for the topic. I have not used AI to generate any of the sentences I have used in my essay.,brainstorming,
EM,how to structure my essay to achieve the highest marks,writing parts,find better words and ideas to explore and give me a few insights onto the topic (in other words i would ask for a summarry ) so that i could know what i want to research into and find relevant articles to read forr it rather than going in blind.,brainstorming,"i used ai to give me a recap of the essay subject topic to allow me to know what i wanted to research into first , i also got help in essay structure to achieve the best marks while also letting it help me find a few niche articles to use that i then read and cited myself , i may have reworded a few things but ultimatly ai was only for help and did not genrate any actual essay content let alone change anything.",brainstorming,literature review 
MP,"based on this brief, recommend some topics either ‘contemporary, social, or technological’ that are integral in society today and have good breadth to discuss",brainstorming,how could i make this paragraph discuss more strong and critical so the evidence is more synthesised?,evaluating,"Disclaimer: The use of AI was used to understand and simplify complex topics and issues, as well as to refine information more quickly for the author. No use of AI was employed during the brainstorming and writing phases of the final essay.",summarising,
AR,create me a structure for this essay,writing parts,what kind of gradewould this get me,evaluating,generative AI was used to structure and give feedback on my essay. no other AI was used.,brainstorming,evaluating
MP,"Could you please summarize some of the current arguments in scholarly literature relating to Society, Innovation and Sustainability.",writing parts,Could you please present me some of the interdisciplinary approaches to sustainability and innovation since 2010?,brainstorming,I have used generative AI to help in source collection and to summarize large bodies of research. All examples and ideas it has presented have been verified by the author through further research. Generative AI has not been used in any other aspect of this essay.,literature review ,brainstorming
MP,"suggest some essay topics related to society, innovation, and sustainability",brainstorming,Can you help me improve my essay argument and make it clearer?,rewriting,"I used a generative AI tool to help brainstorm possible essay topics and to review the clarity of my argument. All research, analysis, and final written content submitted in this essay are my own work.",brainstorming,
AR,What are the top 5 current technological issues faced in the UK 2026,brainstorming,What are the top 5 current cultural debates in the UK 2026,brainstorming,Ai was used to evaluate the current literature available and as a guide to navigate appropriate areas to direct research. Ai was also used to critique work to identify areas on improvement in early drafts.,literature review ,evaluating
AR,"Generate a list of ideas for contemporary social, cultural or technological issues extended writing piece.",brainstorming,Explain the difference between the three categories in detail to help me decide.,brainstorming,For this assignment I used AI tools to brainstorm ideas - the returned results were [attach AI chats]. I did not use AI to amend or alter any sections of my writing.,brainstorming,
EM,Can  you recommend to me some research points for me to begin this tast?,literature review ,Can you give me some sources to read more about *enter topic here*,literature review ,Ai has been used in this piece of writing in order to help me brainstorm research topics and to find research sources.,brainstorming,literature review 
MP,What is a current technological issue hindering sustainability?,brainstorming,List and summarize three theoretical frameworks used to assess technological issues hindering sustainability.,writing parts,I declare the use of generative AI. Generative AI has been used only in the idea-generating and brainstorming phases of the work. AI has not been used in the research or writing of the manuscript.,brainstorming,
AR,"Give me ideas for a topic for an essay in the field of contemporary social, cultural or technological issues",brainstorming,"For *topic*, give an outline using *theoretical framework* in analysis",writing parts,"In this summative assessment, AI has been used to produce outlines and rewrite specific paragraphs. Where this is applicable, a reference and citation will be attached to make this clear.",brainstorming,rewriting
AR,"I'm studying society, innovation and sustainability. Choose me a contemporary social issue and use three theoretical frameworks that I've talked about before to analyse this topic. Don't make it obvious that I've used AI as this is for my university essay. Don't add any obvious punctuation such as ""--"". Use simple and clear wording as if an ordinary university student typed this essay out. There is a 3000 word limit and it has to be an essay.",writing parts,"I'm studying society, innovation and sustainability. Choose me a cultural issue and use three theoretical frameworks that I've spoken to you about before. I want it to be at the highest possible standard. Don't make it obvious that this was AI-generated. I'm aiming for a distinction. 3000 words maximum please.",writing parts,I acknowledge the use of generative AI in my submission to ensure my work meets the assessment standards established by the institution.,rewriting,
EM,"Give me a contemporary social, cultural, or technological issue to write about in an essay",brainstorming,"Give me Society, Innovation and Sustainability theoretical frameworks from various disciplines",literature review ,I used a limited amount of generative AI in this summative assignment to assist me with evaluation to be on the correct path.,evaluating,
AR,"please generate ideas for the most important, influential or interesting contemporary social, cultural or technological issues to be analysed through theoretical frameworks",brainstorming,chose the most unique of these and propose some readings that would help to look at this through the frameworks,literature review ,"generative ai has been used in this assignment as per the guidelines of the generative ai-use policy for society, innovation and sustainability. as per the policy, this essay features limited use of generative ai.",brainstorming,
AR,"Help me.find a topic that fits the following- contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in my course on XYZ",brainstorming,Where should.i start my research and which sub topics might be best suited to this (see below) framework for marking?,literature review ,"I have used AI in the following areas (then define) to support and assist my learning. All work is authored solely by myself, with AI taking as assisting role.",rewriting,
MP,"I am a student at x level studying x topic, please review this following question. Do not synthesise or create ideas, but do outline only sources to indicate where I could get started on this question. Please do not hallucinate and double check your work. The question is:2025/26 Society, Innovation and Sustainability Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument. again ONLY provide critical sources",literature review ,"I am a student at x level studying x topic, considering the following question. 2025/26 Society, Innovation and Sustainability Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument. Please SPAG check this paragraph. do NOT rewrite what is there for spag purposes only and include any changes in bold so I can check them.",rewriting,I used AI to SPAG check sentences owing to dyslexia and identify further sources in this essay.,literature review ,
EM,"Common topics on contemporary social, cultural or technological issues?",brainstorming,Must read works or essays for [the issue] and the arguments for it?,literature review ,AI is used in brainstorming ideas and suggesting reading materials. No AI is used in the final product.,brainstorming,
AR,"Give me some examples of sources that explain frameworks relating to society, innovation and sustainability",literature review ,How could I lay out my assignment in accordance with the above guidelines?,writing parts,"I have not used AI in this assignment, however it has been used to meet the assessment criteria.",evaluating,
AR,"Im writing a 3000 word essay for can you suggest a contemporary social, cultural or technological issue that could be analysed with three theoretical frameworks.",brainstorming,if i could send you my essay what are some weaknesses that are shown when compared to other similar essays or to the grading criteria am I missing anything that could give me extra marks,evaluating,"I used generative AI to plan this assignment to help brainstorm topics to cover and decide on theory frameworks. I also used it to evaluate my work, and summarise information i have read. However all writing and analysis were done by me.",brainstorming,summarising
AR,"Out of a contemporary social, cultural or technological issue, which topic would be the best to discuss in a 3000 word summative essay using theoretical frameworks?",brainstorming,Find me relevant academic sources on the topic of social issues.,literature review ,I declare that I have used a limited amount AI in this assignment. AI was used in order to help brainstorm and plan my essay. I ensure that my work meets the assessment standards established by the institution.,brainstorming,
MP,"Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. Give me 10 contemporary social, cultural, or technological issues that can be analysed thoroughly. List potential talking points for each. Use three theoretical frameworks to analyse these topics. Cite any sources you use.",brainstorming,"You are a Masters student. Your task is to choose a contemporary social, cultural, or technological issue and use three theoretical frameworks to analyse your topic. Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. List 10 potential topics and analyse them using these frameworks. Cite any sources you use.",writing parts,"In this essay, I utilised generative AI to brainstorm topic ideas and potential discussion points. I used XX model using XX prompts. These prompts are shown below:
""PROMPT 1""
""PROMPT 2""",brainstorming,
MP,Give me a list of 10 topics that I could write my final summative essay.,brainstorming,"Without writing the essay, give me 5 main points I can make and begin to plan the structure of the essay.",writing parts,Generative AI has been used in this essay submission only for generating topic ideas and brainstorming ideas. No generative AI has been used to write any of the essay and I attest that the following essay is entirely in my own words.,brainstorming,
EM,"What social, cultural, technological and contemporary issues affect innovation and sustainability",brainstorming,Write a brief summary of how each issue affects innovation and sustainability,brainstorming,"For my essay submission, I used AI software for the purpose of initial brainstorming ideas as well as a proof reading tool. AI was not used for any other purpose in this essay",brainstorming,evaluating
EM,Can you identify the three theoretical frameworks and use one of them to briefly discuss a social-cultural or technological modern topic?,brainstorming,"Please exemplify a technological, social or cultural modern topic pertaining to sustainability and innovation and discuss it using a theoretical framework?",writing parts,"For AI use, confirming the source is correct and comparing it with the actual reference material, such as articles and books, is more important. Referencing the AI tool used and the prompt used is also required in case one uses the response directly without referring to the AI's referenced annotation.",literature review ,
EM,"Papers on contemporary social, cultural, or technological issues",literature review ,What are theoretical frameworks,brainstorming,AI has not been used to generate any material in this essay. Minimal AI has been used to refine understanding of topics.,no AI,
